case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_2,1,200,90.52,FAKE,2025-11-02T15:34:10
fake_2,2,200,92.93,FAKE,2025-11-02T15:34:10
fake_2,3,200,94.8,FAKE,2025-11-02T15:34:10
fake_2,4,200,95.49,FAKE,2025-11-02T15:34:10
fake_2,5,200,92.99,FAKE,2025-11-02T15:34:10
fake_2,6,200,98.35,FAKE,2025-11-02T15:34:10
fake_2,7,200,87.53,FAKE,2025-11-02T15:34:11
fake_2,8,200,95.03,FAKE,2025-11-02T15:34:11
fake_2,9,200,94.43,FAKE,2025-11-02T15:34:11
fake_2,10,200,97.57,FAKE,2025-11-02T15:34:11
fake_2,11,200,94.68,FAKE,2025-11-02T15:34:11
fake_2,12,200,93.38,FAKE,2025-11-02T15:34:11
fake_2,13,200,90.9,FAKE,2025-11-02T15:34:11
fake_2,14,200,88.58,FAKE,2025-11-02T15:34:11
fake_2,15,200,94.1,FAKE,2025-11-02T15:34:11
fake_2,16,200,99.44,FAKE,2025-11-02T15:34:11
fake_2,17,200,96.1,FAKE,2025-11-02T15:34:11
fake_2,18,200,100.8,FAKE,2025-11-02T15:34:12
fake_2,19,200,91.95,FAKE,2025-11-02T15:34:12
fake_2,20,200,91.85,FAKE,2025-11-02T15:34:12
fake_2,21,200,96.93,FAKE,2025-11-02T15:34:12
fake_2,22,200,87.32,FAKE,2025-11-02T15:34:12
fake_2,23,200,89.42,FAKE,2025-11-02T15:34:12
fake_2,24,200,96.97,FAKE,2025-11-02T15:34:12
fake_2,25,200,95.08,FAKE,2025-11-02T15:34:12
fake_2,26,200,100.26,FAKE,2025-11-02T15:34:12
fake_2,27,200,92.43,FAKE,2025-11-02T15:34:12
fake_2,28,200,89.48,FAKE,2025-11-02T15:34:13
fake_2,29,200,93.13,FAKE,2025-11-02T15:34:13
fake_2,30,200,93.49,FAKE,2025-11-02T15:34:13
fake_2,31,200,90.61,FAKE,2025-11-02T15:34:13
fake_2,32,200,93.22,FAKE,2025-11-02T15:34:13
fake_2,33,200,92.05,FAKE,2025-11-02T15:34:13
fake_2,34,200,96.41,FAKE,2025-11-02T15:34:13
fake_2,35,200,94.45,FAKE,2025-11-02T15:34:13
fake_2,36,200,95.26,FAKE,2025-11-02T15:34:13
fake_2,37,200,92.34,FAKE,2025-11-02T15:34:13
fake_2,38,200,90.42,FAKE,2025-11-02T15:34:13
fake_2,39,200,96.93,FAKE,2025-11-02T15:34:14
